text,label
Sejumlah pelaku tawuran diamankan di Jalan Raya Bogor pada Minggu sore.,TAWURAN
Kebakaran terjadi di kawasan Jalan Arif Rahman Hakim pada Kamis pagi.,KEBAKARAN
Sejumlah pelaku tawuran diamankan di Jalan Pemuda pada Senin malam.,TAWURAN
Bentrokan antar kelompok terjadi di Jalan Nusantara pada Jumat malam.,TAWURAN
Korban pembacokan ditemukan di kawasan Jalan Diponegoro pada Senin malam.,PEMBACOKAN
Kebakaran terjadi di kawasan Jalan Citayam pada Sabtu pagi.,KEBAKARAN
Dua warga menjadi korban pembacokan di Jalan Kemang pada Selasa malam.,PEMBACOKAN
Kasus pencurian sepeda motor terjadi di Jalan Sawangan pada Rabu sore.,PENCURIAN
Kecelakaan lalu lintas terjadi di Jalan Margonda pada Selasa malam.,KECELAKAAN
Bentrokan antar kelompok terjadi di Jalan Dewi Sartika pada Minggu sore.,TAWURAN
Petugas memadamkan kebakaran di Jalan Dewi Sartika pada Jumat sore.,KEBAKARAN
Polisi menangkap pelaku begal di Jalan Raya Bogor pada Minggu sore.,BEGAL
Dua kendaraan bertabrakan di Jalan Siliwangi saat Selasa malam.,KECELAKAAN
Petugas memadamkan kebakaran di Jalan Sawangan pada Selasa malam.,KEBAKARAN
Seorang pengendara mengalami kecelakaan di Jalan Kemang pada Minggu malam.,KECELAKAAN
Bentrokan antar kelompok terjadi di Jalan Kemang pada Selasa malam.,TAWURAN
Sebuah bangunan terbakar di Jalan Pemuda pada Kamis pagi.,KEBAKARAN
Sebuah bangunan terbakar di Jalan Merdeka pada Senin pagi.,KEBAKARAN
Api melalap sebuah toko di Jalan Diponegoro saat Kamis malam.,KEBAKARAN
Polisi menangkap pelaku begal di Jalan Dewi Sartika pada Kamis pagi.,BEGAL
Petugas memadamkan kebakaran di Jalan Margonda pada Rabu sore.,KEBAKARAN
Sebuah bangunan terbakar di Jalan Diponegoro pada Jumat malam.,KEBAKARAN
Petugas memadamkan kebakaran di Jalan Sudirman pada Senin malam.,KEBAKARAN
Kecelakaan kendaraan terjadi di kawasan Jalan Kartini pada Senin pagi.,KECELAKAAN
Kebakaran rumah terjadi di Jalan Diponegoro pada Minggu sore.,KEBAKARAN
Kasus pencurian sepeda motor terjadi di Jalan Juanda pada Sabtu malam.,PENCURIAN
Polisi menangkap pelaku begal di Jalan Siliwangi pada Senin malam.,BEGAL
Terjadi aksi pembegalan terhadap pengendara di Jalan Dewi Sartika pada Sabtu pagi.,BEGAL
Kecelakaan kendaraan terjadi di kawasan Jalan Nusantara pada Rabu sore.,KECELAKAAN
Korban pembacokan ditemukan di kawasan Jalan Raya Bogor pada Sabtu malam.,PEMBACOKAN
Kasus pencurian sepeda motor terjadi di Jalan Kemang pada Rabu malam.,PENCURIAN
Pengendara menjadi korban begal di Jalan Raya Bogor pada Kamis malam.,BEGAL
Kebakaran terjadi di kawasan Jalan Pemuda pada Kamis malam.,KEBAKARAN
Korban pembacokan ditemukan di kawasan Jalan Juanda pada Senin pagi.,PEMBACOKAN
