text,label
"Begal di Tambun Ditangkap Polisi, Modus Tuduh Korban Tabrak Adik Polisi menangkap seorang pria berinisial R diduga begal yang beraksi di Jalan Kalimalang, Tambun Selatan, Kabupaten Bekasi, Jawa Barat (Jabar). Pelaku melancarkan aksinya dengan modus menuduh korban menabrak adiknya. ""Modusnya pelaku secara tiba-tiba memberhentikan korban yang sedang mengendarai sepeda motor, kemudian melontarkan tuduhan palsu bahwa korban telah menabrak adiknya guna melumpuhkan mental korban seketika,"" kata Kasubdit Resmob Ditreskrimum Polda Metro Jaya AKBP Resa Fiardi Marasabessy dalam keterangannya, Selasa (18/8/2026). Peristiwa itu terjadi pada Selasa (11/8) yang lalu. Pelaku ditangkap di persembunyiannya di sebuah kontrakan di kawasan Johar Baru, Jakarta Pusat (Jakpus). SCROLL TO CONTINUE WITH CONTENT Tuduhan pelaku terhadap korban bertujuan untuk membuat korban takut. Saat itu pelaku mengajak korban ikut dengannya hingga berujung merampas motor milik korban. ""Di bawah tekanan dan rasa takut, korban yang panik kemudian menuruti ajakan pelaku untuk dibonceng. Usai ikut dengan pelaku, di tengah jalan korban diturunkan secara paksa dan pelaku melarikan diri membawa sepeda motor Honda Scoopy milik korban,"" jelasnya. Saat ini pelaku sudah ditetapkan sebagai tersangka dan ditahan. Pihak kepolisian masih melakukan serangkaian pendalaman. ""Atas perbuatannya, pelaku dijerat dengan Pasal 479 UU Nomor 1 Tahun 2023 tentang KUHP tentang pencurian dengan kekerasan, dengan ancaman hukuman maksimal 9 tahun penjara,"" jelasnya.",PENCURIAN
"Pengakuan Begal Pantat di Badung: 10 Kali Sasar Pemotor Wanita Pengakuan Begal Pantat di Badung: 10 Kali Sasar Pemotor Wanita Agus Eka Purna Negara - detikBali Pria berinisial IWCA (25) yang ditangkap warga karena nekat melakukan aksi begal bokong atau pantat di wilayah Kecamatan Abiansemal, Kabupaten Badung, Bali, membuat pengakuan saat diperiksa polisi. Pemotor yang bekerja sebagai engineering tersebut mengaku telah berulang kali melancarkan aksi tak senonoh terhadap pengendara wanita di jalan raya. Sebelumnya, video penangkapan IWCA mendadak viral di media sosial sejak Senin (17/8/2026) malam setelah dibekuk warga di Banjar Kutaraga, Desa Bongkasa. Pelaku ditangkap usai nekat meremas bokong seorang mahasiswi berinisial NPS (31) yang sedang melintas mengendarai motor jenis metik hingga korban berteriak histeris di lokasi kejadian. Dari hasil pemeriksaan, polisi kemudian mendapati IWCA diduga telah melakukan aksi serupa berkali-kali. ""Dari hasil pemeriksaan lanjutan, terduga pelaku ini akhirnya mengakui bukan pertama kali. Sudah berkali-kali menyasar wanita pengendara sepeda motor,"" kata PS Kasubsipenmas Sihumas Polres Badung Aiptu Ni Nyoman Ayu Inastuti, Selasa (18/8/2026). SCROLL TO CONTINUE WITH CONTENT Berdasarkan hasil interogasi polisi, pria asal Kecamatan Petang tersebut diduga telah melancarkan aksi pelecehan seksual di jalanan sebanyak 10 kali. Seluruh aksi tersebut dilakukan dengan menyasar perempuan maupun remaja putri yang sedang berkendara sendirian. ""Terduga pelaku mengakui sudah sebanyak sepuluh kali di lokasi berbeda. Modusnya selalu sama, memegang bagian sensitif korban secara spontan dari atas motor,"" ujar Ayu Inastuti. Ayu menjelaskan seluruh aksi tersebut selalu dilakukan pelaku saat perjalanan pulang dari tempatnya bekerja di wilayah Ubud, Gianyar. Sekitar pukul 15.00 Wita, pelaku rutin menyusuri jalur sepi yang biasa dilaluinya menuju rumah di daerah Petang menggunakan sepeda motor. Aksi tersebut selalu dilakukan pada sore hari saat jam pulang kerja di sejumlah jalur yang dilintasinya. Lokasi yang disasar meliputi kawasan Jalan Raya Bongkasa, Banjar Pengembungan Sari, Sawah Petegeh Taman Punggul, hingga Carangsari. Secara terperinci, pelaku mengaku beraksi di Subak Singempel sebanyak tiga kali, Banjar Pengembungan Sari dua kali, wilayah Petegeh empat kali, dan kawasan Carangsari satu kali. Petugas penyidik Unit Reskrim Polsek Abiansemal kini terus mendalami keterangan tersebut guna memastikan kemungkinan adanya korban lain. ""Kami mengimbau kepada masyarakat, khususnya kaum perempuan yang merasa pernah menjadi korban pelecehan serupa di jalur tersebut, untuk tidak ragu melapor. Pelaku saat ini sudah diamankan di Polsek Abiansemal untuk proses hukum lebih lanjut,"" pungkas Ayu Inastuti. BEM UI Bakal Demo di Bundaran HI, Polisi Siapkan Rekayasa Lalu Lintas Tsunami Kebangkrutan Hantam Jepang, 1.000 Usaha Tumbang 2 Bulan Beruntun Tips Awet Muda ala Nindy Ayunda Nyicil Wuling Aira ev Bisa Rp 900 Ribuan/Bulan, DP Minimal Segini Cantiknya Shanna Shannon saat Ngeteh hingga Menikmati Aneka Dessert Manis Investigasi Keracunan MBG di Karo, BGN: Ikan Tak Masuk Freezer 12 Jam Mengisi Usia Senja, Para Petani Desa Timpik Menabuh Gamelan 10 HP dengan Radiasi Tertinggi, Masih Ada yang Pakai? Kejuaraan Dunia 2026: Jonatan Awali dengan Mulus, Singgung soal Venue Dear MU, Izinkan Carrick Bangun Skuad Dulu Potret Hayden Panettiere dari Masa ke Masa, Kini Meninggal di Usia 36 Kemnaker Rekrut Peserta Magang ke Jepang, Cek Syarat dan Cara Daftar di Sini! Cari Kerja di Bali? Ini 3 Lowongan Terbaru 2026 Lengkap dengan Kualifikasi Kopdes Merah Putih Rekrut 30.000 Manajer, Ini Syarat dan Jadwalnya 2 Pekan Usai Diterjang Banjir, Tanggul Jembatan di Kusamba Belum Diperbaiki Kabel Menjuntai Bahayakan Warga di Klungkung, Sudah Lapor Belum Direspons Rusak Bertahun-tahun, Jalan Abimanyu Buleleng Belum Juga Diperbaiki",BEGAL
"Nekat Pegang Pantat Mahasiswi, Pria di Bongkasa Badung Ditangkap Warga Nekat Pegang Pantat Mahasiswi, Pria di Bongkasa Badung Ditangkap Warga Agus Eka - detikBali Pria berinisial IWCA (25) diringkus warga lantaran diduga melakukan pelecehan seksual terhadap seorang mahasiswi inisial NPS (31) di Desa Bongkasa, Kecamatan Abiansemal, Badung, Bali. Video penangkapan terduga pelaku 'begal bokong' terhadap pengendara perempuan itu viral di media sosial. ""Video yang beredar di media sosial memang benar terkait pengamanan seorang pria terduga pelaku pelecehan seksual di wilayah Bongkasa. Anggota UKL Polsek Abiansemal sudah menerima laporan dari warga setempat,"" kata PS Kasubsipenmas Sihumas Polres Badung Aiptu Ni Nyoman Ayu Inastuti, Selasa (18/8/2026). SCROLL TO CONTINUE WITH CONTENT Aksi tak senonoh tersebut bermula saat IWCA mengendarai motor dalam perjalanan pulang bekerja dari daerah Ubud, Gianyar, menuju rumahnya di wilayah Kecamatan Petang, Badung. Saat melintas di depan warung sate Banjar Kutaraga, Bongkasa, pelaku melihat korban yang sedang mengendarai motor. ""Pelaku ini spontan memegang bagian pantat korban satu kali,"" ujar Ayu Inastuti. Berdasarkan video yang beredar di media sosial, terduga pelaku lantas dicegat serta dikepung warga di tepi jalan. Pelaku yang berdiri pasrah terus dicecar sejumlah pria lokal, termasuk beberapa warga yang mengenakan pakaian adat. Saat diinterogasi warga, IWCA tampak memberikan penjelasan yang berbelit-belit. Terduga pelaku sempat mengaku nekat membuntuti karena didasari rasa penasaran. Namun, teriakan korban yang kaget akan kelakuan IWCA langsung memancing perhatian warga dan menghentikan laju kendaraan pria itu. IWCA pun tak berkutik dan hanya menunduk sembari membuka menunjukkan tanda pengenal kepada warga berpakaian adat yang mendekatinya. ""Terduga pelaku sudah diamankan. Saat ini masih di Polsek Abiansemal, masih diperiksa,"" pungkas Ayu Inastuti. BEM UI Bakal Demo di Bundaran HI, Polisi Siapkan Rekayasa Lalu Lintas Apa Itu Kartu Kredit Indonesia? Ini Fungsi dan Cara Pakainya Ardhito Pramono Gugat Sony Music Indonesia Ini 2 Merek Motor Listrik yang Dapat Insentif dari Pemerintah Resep Sayur Lodeh Nangka Muda yang Gurih Sedap Buat Makan Siang Merinding! Ada 10 Larva Bersarang di Hidung Wanita Ini Mengisi Usia Senja, Para Petani Desa Timpik Menabuh Gamelan Deretan Bos AI yang Mendadak Kaya Raya di Usia 20-an Rodri Gabung Barca bukan Kabar Baik untuk Madrid Jika Man City Kalah di Community Shield, Besoknya Juara Liga Inggris Potret Hayden Panettiere dari Masa ke Masa, Kini Meninggal di Usia 36 Kemnaker Rekrut Peserta Magang ke Jepang, Cek Syarat dan Cara Daftar di Sini! Cari Kerja di Bali? Ini 3 Lowongan Terbaru 2026 Lengkap dengan Kualifikasi Kopdes Merah Putih Rekrut 30.000 Manajer, Ini Syarat dan Jadwalnya 2 Pekan Usai Diterjang Banjir, Tanggul Jembatan di Kusamba Belum Diperbaiki Kabel Menjuntai Bahayakan Warga di Klungkung, Sudah Lapor Belum Direspons Rusak Bertahun-tahun, Jalan Abimanyu Buleleng Belum Juga Diperbaiki",BEGAL
"Video: Dua Aksi Begal Beraksi di Probolinggo dalam Semalam, Korbannya Pemotor Wanita Scroll atau gunakan tombol
                                        [ ]
                                        [ ] serta klik panah di sisi kanan untuk menjelajahi feed video. Aksi pembegalan sepeda motor yang disertai ancaman senjata tajam dilaporkan terjadi secara beruntun dalam satu hari di wilayah hukum Polres Probolinggo dan Polres Probolinggo, Jawa Timur. Kejadian pertama menimpa seorang buruh pabrik rokok bernama Hidayati, di mana korban diancam dan sempat disabet celurit pada bagian helm sebelum sepeda motor Honda Beat Street baru serta tas miliknya dirampas. Pada hari yang sama, aksi serupa juga menimpa Kartika Dewi Ningtyas, warga Lumajang, yang kehilangan sepeda motor Honda Scoopy miliknya setelah diadang kawanan begal",BEGAL
"Video Gak Bisa Berkutik! Detik-detik Begal Sadis Majalaya Ditangkap! Scroll atau gunakan tombol
                                        [ ]
                                        [ ] serta klik panah di sisi kanan untuk menjelajahi feed video. Rekaman video penangkapan pelaku begal di Majalaya yang sempat piting leher korban saat jalan pulang malam. Terima kasih tim Kepolisian yang bergerak cepat mengamankan pelaku! Tetap selalu waspada ya guys kalau lewat jalanan sepi malam-malam.",BEGAL
"HUT Ke-81 RI, Polres-Pemkot Jakut Kumpulkan Warga Deklarasi Antitawuran Polres Metro Jakarta Utara bersama Forkopimko melakukan deklarasi anti tawuran . Kegiatan ini dilakukan dalam rangka peringatan hari ulang tahun (HUT) atau Hari Kemerdekaan Indonesia yang ke-81. Kegiatan yang bertajuk 'Jamuan Rakyat' ini dipusatkan di Jakarta International Stadium (JIS), Tanjung Priok. Kegiatan juga digelar di 9 titik, yaitu RPTRA Waduk Pluit dan RTH Kalijodo di Penjaringan, GOR Rawa Badak dan Islamic Center di Koja, GOR Semper Barat dan GOR Sekda Saefullah di Cilincing, JIS dan GOR Sunter di Tanjung Priok, serta area parkir Benyamin Sueb di Pademangan. SCROLL TO CONTINUE WITH CONTENT Kegiatan dipimpin Wali Kota Jakarta Utara Hendra Hidayat, Kapolres Metro Jakarta Utara Kombes Oki Waskito, unsur TNI, dan diikuti ratusan warga lainnya. Oki mengatakan kegiatan itu menjadi momentum mempererat kebersamaan dan mengajak masyarakat menjaga keamanan dan ketertiban lingkungan. ""Dalam kegiatan tersebut, Forkopimko Jakarta Utara bersama masyarakat juga menyampaikan Deklarasi Antitawuran sebagai bentuk komitmen bersama untuk menolak segala bentuk aksi tawuran dan kekerasan,"" kata Oki dalam keterangannya, Selasa (18/8/2026). Berbagai kegiatan turut memeriahkan Jamuan Rakyat, mulai pembagian sembako, pentas hiburan rakyat, bazar UMKM, perlombaan 17 Agustus, hingga pemeriksaan kesehatan gratis. Polisi juga mengajak masyarakat sama-sama menjaga ketertiban. ""Antusiasme masyarakat terlihat dalam kegiatan tersebut. Warga menyambut positif Jamuan Rakyat yang dinilai menjadi ruang untuk berkumpul, bersilaturahmi dan menikmati perayaan HUT Kemerdekaan bersama keluarga dan masyarakat,"" tuturnya. Masyarakat menyambut baik kegiatan itu, terlebih dengan adanya deklarasi anti tawuran. Melalui kegiatan itu, Forkopimko Jakarta Utara mengajak seluruh masyarakat terus menjaga persatuan, mempererat persaudaraan, dan bersama-sama mencegah aksi tawuran.",TAWURAN
"Disdik Sumsel Minta Guru-Orang Tua Awasi Anak untuk Cegah Tawuran di Palembang Dinas Pendidikan (Disdik) Sumatera Selatan (Sumsel) meminta guru dan orang tua siswa untuk mengawasi anak-anaknya untuk mencegah aksi tawuran di Palembang. Hal itu menyusul adanya ajakan aksi tawuran saat HUT ke-81 RI, Senin (17/8/2026). Untuk mencegah itu, Disdik Sumsel sudah membuat surat edaran pencegahan tawuran antarpelajar telah disebar ke seluruh kepala SMK negeri dan swasta di Palembang. ""Kita sudah berkoordinasi dengan pihak kepolisian untuk pencegahan dan penanganan jika terjadi aksi kenakalan remaja. Mudah-mudahan surat edaran yang kita sampaikan ke sekolah ditindaklanjuti,"" ujar Kepala Disdik Sumsel Mondyaboni, Senin (17/8/2026). SCROLL TO CONTINUE WITH CONTENT Dalam SE itu, sekolah juga diminta membentuk tim pencegahan dan penanganan kekerasan (TPPK) atau satgas di sekolah untuk mengantisipasi tindakan kekerasan. Selain pihak sekolah yang diminta menyampaikan imbauan kepada siswa agar tidak melakukan tawuran, orang tua juga diminta ikut mengawasi anaknya. Dalam SE itu, orang tua diimbau melarang anaknya keluar pada malam hari dan melakukan tindakan yang mengarah pada aksi tawuran serta kenakalan remaja lainnya. Selain itu, orang tua juga diminta mewaspadainya dengan memeriksa barang bawaan anaknya, mengecek tas dan perlengkapan sekolah secara berkala. Hal itu untuk memastikan tidak ada barang tajam, senjata, atau atribut tertentu. Kemudian, pantauan juga diminta dilakukan dalam pergaulan anak, aktivitas media sosial, dan lainnya. ""Koordinasi juga saya minta lakukan dengan para orang tua siswa. Mudah-mudahan di Sumsel selalu dalam keadaan aman,"" katanya. Dia juga meminta para siswa tidak mudah terprovokasi dengan ajakan-ajakan yang mengarah pada aksi tidak baik. Dia meminta agar para siswa ikut menjaga kondusivitas. ""Jika ada yang terlibat akan ada sanksi tegas sesuai dengan peraturan yang berlaku di sekolah dan perundang-perundangan,"" ungkapnya. ""Kita ingin di hari kemerdekaan RI ini, pendidikan Sumsel semakin maju,"" sambungnya.",TAWURAN
"Tawuran Remaja Sedang Marak Terjadi di Palembang, Ini Kata Ratu Dewa Aksi tawuran yang melibatkan anak remaja kembali menjadi perhatian Pemerintah Kota Palembang. Wali Kota Palembang Ratu Dewa meminta jajaran Dinas Pendidikan Kota Palembang turun langsung ke sekolah-sekolah untuk memberikan edukasi kepada para siswa mengenai bahaya dan dampak tawuran. Ratu Dewa menilai pencegahan tawuran tidak cukup hanya dilakukan melalui penindakan. Edukasi sejak di lingkungan sekolah dinilai penting agar para pelajar memahami bahwa tawuran dapat membahayakan diri sendiri maupun orang lain serta berpotensi menimbulkan persoalan hukum. ""Saya sudah meminta Dinas Pendidikan untuk turun ke sekolah-sekolah. Berikan edukasi kepada anak-anak kita tentang bahaya tawuran, jangan sampai mereka terlibat dalam aksi yang bisa merugikan diri sendiri dan orang lain,"" katanya kepada wartawan, Senin (17/8/2026). SCROLL TO CONTINUE WITH CONTENT Menurut Dewa, sekolah harus menjadi salah satu garda terdepan dalam mencegah keterlibatan pelajar dalam aksi tawuran. Guru dan pihak sekolah diminta lebih aktif memantau perilaku siswa, termasuk memberikan pembinaan apabila ditemukan indikasi adanya kelompok atau siswa yang berpotensi terlibat tawuran. Selain menggandeng Dinas Pendidikan, Ratu Dewa juga telah berkoordinasi dengan Kapolrestabes Palembang untuk menangani maraknya aksi tawuran remaja. Dewa mengatakan, koordinasi tersebut langsung ditindaklanjuti pihak kepolisian. Anggota kepolisian telah diturunkan ke sejumlah sekolah yang terdeteksi memiliki siswa yang diduga terlibat atau berkaitan dengan aksi tawuran. ""Kemarin saya juga sudah koordinasi langsung dengan Kapolrestabes Palembang. Alhamdulillah, Kapolres bergerak cepat. Anggota sudah diturunkan ke sekolah-sekolah yang terdeteksi anak-anaknya terlibat tawuran,"" ungkapnya. Dewa berharap langkah tersebut dapat menjadi upaya bersama untuk memutus mata rantai tawuran di kalangan pelajar. Menurutnya, penanganan persoalan tersebut membutuhkan kolaborasi antara pemerintah, kepolisian, sekolah, keluarga, hingga lingkungan masyarakat. Dia juga secara khusus meminta para orang tua meningkatkan pengawasan terhadap anak-anak mereka. Pengawasan keluarga, kata Dewa, sangat penting karena aktivitas anak tidak hanya berlangsung di sekolah, tetapi juga ketika berada di luar rumah. ""Saya juga meminta peran aktif orang tua. Tolong awasi anak-anak kita. Jangan dibiarkan berkeliaran pada malam hari tanpa pengawasan,"" tegasnya. Orang tua juga diminta mengetahui lingkungan pergaulan anak. Dewa mengingatkan agar orang tua tidak segan menanyakan dengan siapa anak mereka berteman dan mengetahui aktivitas yang dilakukan di luar rumah. ""Awasi pergaulan mereka, mereka berteman dengan siapa, aktivitasnya apa. Bahkan kalau perlu cek HP anak-anak, sehingga orang tua tahu komunikasi dan lingkungan pergaulan mereka,"" katanya. Dewa menilai pengawasan tersebut bukan semata-mata bentuk pembatasan terhadap anak, melainkan bagian dari upaya melindungi mereka dari pengaruh lingkungan yang dapat mendorong terjadinya kenakalan remaja hingga tawuran. ""Ini tanggung jawab kita bersama. Pemerintah tidak bisa bekerja sendiri. Sekolah tidak bisa bekerja sendiri, polisi juga tidak bisa sendiri. Orang tua harus ikut mengawasi dan memberikan pemahaman kepada anak-anak,"" sambungnya. Pemkot Palembang berharap sinergi antara sekolah, kepolisian dan keluarga dapat mencegah aksi tawuran kembali terjadi. Edukasi kepada pelajar juga diharapkan membuat para siswa lebih memahami konsekuensi dari tindakan mereka serta memilih kegiatan yang lebih positif. Dewa menegaskan bahwa anak-anak dan pelajar merupakan generasi penerus yang harus dijaga. Karena itu, setiap potensi yang dapat membawa mereka ke dalam aksi kekerasan harus dicegah sejak dini. ""Kita ingin anak-anak Palembang tumbuh menjadi generasi yang baik, berprestasi dan punya masa depan. Jangan sampai masa depan mereka rusak hanya karena ikut-ikutan tawuran,"" pungkasnya.",TAWURAN
"Video: Pecah Bentrokan di Menteng Tewaskan 1 Orang Dipicu Geber Motor saat Sarapan Scroll atau gunakan tombol
                                        [ ]
                                        [ ] serta klik panah di sisi kanan untuk menjelajahi feed video. Bentrokan maut antara warga dengan sekelompok orang terjadi di Jalan Tambak, Menteng, Jakarta Pusat (Jakpus), menewaskan satu orang. Bentrokan warga dengan sekelompok orang tersebut dipicu karena cekcok soal sarapan nasi uduk.",TAWURAN
"Video: Bentrok Geng Motor Vs Warga di Makassar, 1 Motor Dibakar Scroll atau gunakan tombol
                                        [ ]
                                        [ ] serta klik panah di sisi kanan untuk menjelajahi feed video. Puluhan anggota geng motor terlibat bentrok dengan warga di Kota Makassar pada Jumat (17/7) dini hari tadi. Peristiwa tersebut terjadi di Jalan Veteran Selatan-Rappocini. Warga juga membakar satu motor trail yang diduga milik anggota geng motor pada peristiwa tersebut. Kini kasus bentrokan ini tengah didalami oleh kepolisian. Klik di sini untuk melihat video lainnya!",TAWURAN
